periodo	customer_id	product_id	plan_precios_cuidados	cust_request_qty	cust_request_tn	tn
201701	10234	20524	0	2	0.053	0.053
201701	10032	20524	0	1	0.13628	0.13628
201701	10217	20524	0	1	0.03028	0.03028
201701	10125	20524	0	1	0.02271	0.02271
201701	10012	20524	0	11	1.54452	1.54452
201701	10080	20524	0	1	0.01514	0.01514
201701	10015	20524	0	4	0.106	0.106
201701	10062	20524	0	1	0.18928	0.18928
201701	10159	20524	0	3	0.02271	0.02271
201701	10183	20524	0	1	0.01514	0.01514
201701	10394	20524	0	1	0.07571	0.07571
201701	10042	20524	0	1	0.03786	0.03786
201701	10010	20524	0	1	0.40884	0.40884
201701	10515	20524	0	1	0.01514	0.01514
201701	10011	20524	0	3	0.40884	0.40884
201701	10132	20524	0	1	0.07571	0.07571
201701	10040	20524	0	1	0.01514	0.01514
201701	10037	20524	0	2	0.06057	0.06057
201701	10007	20524	0	1	0.01514	0.01514
